source,path,neutral,happy,sad,anger,surprise,disgust,fear
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-82.7645-100.555.wav,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-119.919-125.299.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-4.84-13.6315.wav,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-13.6315-27.031.wav,1.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-27.031-41.3.wav,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3g5yACwYnA-74.083-82.7645.wav,0.0,0.0,0.6666667,0.0,0.0,0.0,0.33333334
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3nNcZdcdvU-0.0-9.213.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3nNcZdcdvU-12.014-20.098.wav,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-3nNcZdcdvU-36.399-44.173.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-0.0-2.247.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-2.247-10.818.wav,1.0,0.0,0.33333334,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-10.818-14.0655.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-14.0655-19.992.wav,1.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-19.992-26.214.wav,0.0,0.0,0.6666667,0.0,0.0,0.6666667,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-27.08-32.358999999999995.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-32.358999999999995-35.353.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-35.441-42.806.wav,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-43.093-49.425.wav,0.0,0.0,0.0,0.6666667,0.0,0.6666667,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-HwX2H8Z4hY-49.425-56.934.wav,0.0,0.0,0.0,0.33333334,0.0,0.0,1.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-0.0-13.078.wav,0.0,1.3333334,0.33333334,0.0,0.0,0.0,0.6666667
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-13.078-23.071.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-112.625-122.6635.wav,0.0,1.6666666,0.0,0.0,0.6666667,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-122.6635-126.9095.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-126.9095-141.392.wav,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-23.308-27.531.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-84.27-92.244.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-THoVjtIkeU-97.62-106.831.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.33333334
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-0.0-3.325.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-3.325-12.898.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-12.898-19.937.wav,0.0,1.3333334,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-19.937-22.97.wav,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-22.97-28.139.wav,0.0,1.3333334,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-28.139-30.5235.wav,1.0,0.0,0.6666667,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-30.5235-37.9365.wav,0.0,0.33333334,0.6666667,0.33333334,0.0,0.6666667,0.33333334
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-37.9365-43.339.wav,0.0,0.0,1.3333334,0.33333334,0.0,1.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-43.339-51.3405.wav,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-UuX1xuaiiE-51.3405-57.693.wav,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-WXXTNIJcVM-0.0-1.6785.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-WXXTNIJcVM-1.6785-4.6815.wav,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-WXXTNIJcVM-4.6815-8.019.wav,0.0,2.6666667,0.0,0.0,0.0,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-WXXTNIJcVM-8.019-18.721.wav,0.0,1.6666666,0.0,0.0,0.33333334,0.0,0.0
MOSEI,./data/CMU-MOSEI-CHUNKED/Audio/-WXXTNIJcVM-31.44-41.988.wav,1.0,0.0,0.0,0.0,0.33333334,0.0,0.0
